"age","workclass","education.num","marital.status","occupation","relationship","race","sex","hours.per.week","native.country","income"
24," Private",9," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",40," United-States"," <=50K"
33," Private",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",40," United-States"," <=50K"
23," Private",13," Never-married"," Adm-clerical"," Own-child"," White"," Female",40," United-States"," <=50K"
31," Private",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",40," United-States"," <=50K"
33," Private",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," United-States"," <=50K"
24," State-gov",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",40," United-States"," <=50K"
29," Private",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",40," United-States"," <=50K"
52," Private",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",45," United-States"," <=50K"
29," Private",5," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
59," Private",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",40," United-States"," <=50K"
46," Private",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",40," United-States"," <=50K"
28," Private",9," Never-married"," Craft-repair"," Own-child"," White"," Male",40," United-States"," <=50K"
21," Private",10," Never-married"," Other-service"," Own-child"," White"," Female",40," United-States"," <=50K"
39," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
38," Private",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",40," United-States"," <=50K"
24," Private",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",40," United-States"," <=50K"
39," Private",9," Never-married"," Adm-clerical"," Unmarried"," Black"," Female",40," United-States"," <=50K"
26," Private",10," Never-married"," Sales"," Not-in-family"," White"," Female",40," United-States"," <=50K"
37," Private",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",40," United-States"," <=50K"
27," Private",10," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Female",40," United-States"," <=50K"
29," Private",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," United-States"," <=50K"
