age,workclass,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,native.country,income
30, Private,9, Never-married, Exec-managerial, Not-in-family, White, Male,40, Puerto-Rico, <=50K
20, Private,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,50, United-States, <=50K
31, Self-emp-not-inc,9, Never-married, Craft-repair, Unmarried, White, Male,50, United-States, <=50K
38, Self-emp-inc,11, Divorced, Farming-fishing, Not-in-family, White, Male,50, United-States, <=50K
31, Private,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,50, United-States, <=50K
28, Private,13, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, <=50K
44, Local-gov,8, Married-civ-spouse, Other-service, Other-relative, White, Female,35, Mexico, <=50K
34, Private,13, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,40, Philippines, <=50K
42, Private,4, Widowed, Craft-repair, Unmarried, White, Male,40, United-States, <=50K
21, Private,9, Divorced, Sales, Other-relative, White, Female,40, United-States, <=50K
60, Self-emp-inc,9, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, <=50K
27, State-gov,9, Separated, Protective-serv, Not-in-family, White, Male,45, United-States, <=50K
20, Private,9, Never-married, Machine-op-inspct, Own-child, White, Male,43, United-States, <=50K
36, Private,10, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K
47, Local-gov,10, Divorced, Transport-moving, Unmarried, White, Male,40, United-States, <=50K
27, Private,10, Married-civ-spouse, Sales, Husband, White, Male,45, United-States, <=50K
25, Private,9, Married-civ-spouse, Other-service, Husband, White, Male,40, Mexico, <=50K
50, Self-emp-not-inc,13, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States, <=50K
24, Private,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,39, United-States, <=50K
45, State-gov,10, Married-spouse-absent, Other-service, Other-relative, Black, Male,40, Haiti, <=50K
24, Private,9, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K
42, Private,10, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,40, United-States, <=50K
65, Private,9, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, <=50K
25, Private,9, Married-civ-spouse, Other-service, Husband, White, Male,50, Mexico, <=50K
25, Local-gov,9, Married-civ-spouse, Craft-repair, Husband, White, Male,38, United-States, <=50K
33, Private,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
36, Private,10, Divorced, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
18, Self-emp-inc,7, Never-married, Farming-fishing, Own-child, White, Male,50, United-States, <=50K
22, Private,9, Never-married, Craft-repair, Own-child, White, Male,50, United-States, <=50K
25, Private,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
22, Private,13, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
20, Private,10, Never-married, Other-service, Own-child, White, Female,40, United-States, <=50K
36, State-gov,13, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K
20, Private,10, Never-married, Sales, Other-relative, Other, Female,40, United-States, <=50K
32, Private,13, Never-married, Prof-specialty, Not-in-family, Black, Female,40, United-States, <=50K
27, Private,11, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
47, Private,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Peru, <=50K
36, Private,9, Divorced, Exec-managerial, Unmarried, White, Male,45, United-States, <=50K
36, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
37, Private,6, Never-married, Other-service, Unmarried, White, Female,40, United-States, <=50K
23, Private,9, Separated, Machine-op-inspct, Unmarried, White, Female,48, United-States, <=50K
40, Self-emp-not-inc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
25, Private,6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
33, Private,9, Divorced, Craft-repair, Not-in-family, White, Male,45, United-States, <=50K
50, Private,13, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
36, Private,10, Divorced, Adm-clerical, Unmarried, Black, Female,40, United-States, <=50K
44, Private,9, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
35, Private,9, Never-married, Craft-repair, Unmarried, White, Male,35, United-States, <=50K
51, Private,4, Divorced, Other-service, Not-in-family, Other, Male,40, Peru, <=50K
31, Private,7, Never-married, Machine-op-inspct, Not-in-family, White, Female,36, United-States, <=50K
30, Private,10, Never-married, Craft-repair, Not-in-family, Black, Male,40, United-States, <=50K
52, Private,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,48, United-States, <=50K
27, Private,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
59, Private,9, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
52, Private,9, Separated, Adm-clerical, Other-relative, White, Female,40, United-States, <=50K
25, Private,10, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,40, Outlying-US(Guam-USVI-etc), <=50K
42, Private,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,45, United-States, <=50K
28, Private,6, Married-spouse-absent, Craft-repair, Unmarried, White, Male,40, Mexico, <=50K
42, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, <=50K
39, Federal-gov,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, <=50K
20, Private,9, Never-married, Transport-moving, Own-child, White, Male,40, United-States, <=50K
20, Private,9, Never-married, Handlers-cleaners, Own-child, White, Male,35, United-States, <=50K
29, Private,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,43, United-States, <=50K
25, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,35, United-States, <=50K
38, Private,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
45, Private,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
45, Private,10, Divorced, Adm-clerical, Unmarried, White, Female,45, United-States, <=50K
27, Private,9, Married-spouse-absent, Farming-fishing, Own-child, White, Female,40, Mexico, <=50K
28, Self-emp-inc,9, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States, <=50K
46, Private,12, Married-civ-spouse, Transport-moving, Husband, Other, Male,36, United-States, <=50K
55, Private,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, <=50K
58, Private,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States, <=50K
20, State-gov,10, Never-married, Craft-repair, Own-child, White, Male,38, United-States, <=50K
33, Private,6, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, <=50K
42, Private,10, Divorced, Exec-managerial, Unmarried, White, Female,45, United-States, <=50K
21, Private,10, Never-married, Sales, Own-child, White, Male,35, United-States, <=50K
38, Private,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,40, United-States, <=50K
29, Private,11, Never-married, Tech-support, Not-in-family, White, Male,40, United-States, <=50K
21, Private,10, Never-married, Adm-clerical, Own-child, White, Female,35, United-States, <=50K
38, Private,7, Divorced, Machine-op-inspct, Not-in-family, White, Male,40, United-States, <=50K
27, Self-emp-not-inc,9, Never-married, Sales, Not-in-family, Black, Male,40, United-States, <=50K
39, Self-emp-not-inc,5, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
20, Private,10, Never-married, Other-service, Own-child, White, Male,40, United-States, <=50K
48, Private,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,43, United-States, <=50K
41, Private,7, Widowed, Other-service, Unmarried, White, Female,40, United-States, <=50K
59, Private,9, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K
45, Local-gov,11, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, <=50K
35, Private,10, Never-married, Transport-moving, Own-child, White, Male,40, United-States, <=50K
35, Private,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, <=50K
30, Private,10, Never-married, Exec-managerial, Not-in-family, White, Male,52, United-States, <=50K
47, Private,7, Never-married, Craft-repair, Unmarried, White, Male,40, United-States, <=50K
33, Federal-gov,9, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K
27, Private,16, Never-married, Prof-specialty, Not-in-family, White, Male,52, United-States, <=50K
46, Local-gov,14, Separated, Prof-specialty, Unmarried, White, Female,40, United-States, <=50K
25, Local-gov,13, Never-married, Prof-specialty, Not-in-family, White, Male,40, United-States, <=50K
37, Private,10, Separated, Machine-op-inspct, Not-in-family, Black, Male,40, United-States, <=50K
23, Private,3, Never-married, Other-service, Own-child, White, Male,40, El-Salvador, <=50K
49, Private,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,40, United-States, <=50K
32, Private,13, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female,40, Philippines, <=50K
40, Private,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,40, United-States, <=50K
21, State-gov,10, Never-married, Tech-support, Not-in-family, White, Female,50, United-States, <=50K
35, Private,9, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
49, Private,9, Never-married, Craft-repair, Not-in-family, Black, Male,40, United-States, <=50K
22, Private,4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K
45, Private,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, <=50K
40, Private,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
23, Local-gov,9, Never-married, Other-service, Not-in-family, White, Female,40, United-States, <=50K
54, Private,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K
23, Private,13, Never-married, Exec-managerial, Not-in-family, White, Male,40, United-States, <=50K
22, Private,3, Never-married, Priv-house-serv, Other-relative, White, Female,40, El-Salvador, <=50K
25, Private,9, Never-married, Other-service, Not-in-family, White, Female,35, United-States, <=50K
36, Private,7, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States, <=50K
50, State-gov,10, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
62, Private,6, Divorced, Machine-op-inspct, Not-in-family, White, Female,40, United-States, <=50K
41, Private,9, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,40, Poland, <=50K
25, Private,4, Divorced, Craft-repair, Own-child, White, Male,45, United-States, <=50K
23, Private,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, United-States, <=50K
32, Local-gov,13, Divorced, Prof-specialty, Unmarried, White, Female,35, United-States, <=50K
53, Private,9, Never-married, Sales, Not-in-family, White, Female,40, United-States, <=50K
25, Private,6, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, <=50K
28, Self-emp-not-inc,13, Never-married, Sales, Not-in-family, White, Female,48, United-States, <=50K
35, Private,10, Divorced, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Female,40, Philippines, <=50K
28, Private,12, Never-married, Prof-specialty, Own-child, White, Male,40, France, <=50K
37, Private,4, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
